,Name,ETV,Age,Position,Goals,Assists
0,Erling Haaland,€198.8M,24-280,FW,21.0,3.0
1,Martin Ødegaard,€126.5M,26-131,MF,2.0,6.0
2,Alexander Isak,€120.3M,25-218,FW,22.0,6.0
3,Cole Palmer,€115.4M,22-356,MF,14.0,8.0
4,Declan Rice,€107.8M,26-103,MF,2.0,7.0
5,Alexis Mac Allister,€106.1M,26-124,MF,4.0,4.0
6,Phil Foden,€105.7M,24-334,"MF,FW",7.0,2.0
7,Bukayo Saka,€101.3M,23-234,"FW,MF",6.0,10.0
8,Ryan Gravenberch,€85.3M,22-346,MF,0.0,3.0
9,Bruno Guimarães,€83.2M,27-162,MF,4.0,6.0
10,Moisés Caicedo,€80.7M,23-176,MF,1.0,2.0
11,William Saliba,€79.5M,24-034,DF,2.0,0.0
12,Omar Marmoush,€79.1M,26-079,"FW,MF",6.0,0.0
13,Joško Gvardiol,€78.7M,23-094,DF,5.0,0.0
14,Gabriel Magalhães,€75.5M,27-129,DF,3.0,1.0
15,Sávio,€74.8M,21-017,"FW,MF",1.0,8.0
16,Enzo Fernández,€73.7M,24-100,MF,5.0,7.0
17,Dominik Szoboszlai,€71.4M,24-184,MF,5.0,3.0
18,Brennan Johnson,€71.3M,23-339,FW,11.0,3.0
19,Lucas Paquetá,€71.2M,27-243,"MF,FW",4.0,0.0
20,Leny Yoro,€71M,19-165,DF,0.0,0.0
21,Luis Díaz,€71M,28-104,FW,11.0,5.0
22,Kai Havertz,€70.5M,25-320,"FW,MF",9.0,3.0
23,Morgan Rogers,€69M,22-275,"FW,MF",8.0,8.0
24,Murillo,€68.4M,22-297,DF,1.0,0.0
25,Cody Gakpo,€67.5M,25-355,FW,8.0,3.0
26,Nicolas Jackson,€66.2M,23-311,FW,10.0,5.0
27,Kobbie Mainoo,€66M,20-008,MF,0.0,0.0
28,Rico Lewis,€62.7M,20-157,"DF,MF",1.0,2.0
29,Matheus Cunha,€62.6M,25-335,"MF,FW",15.0,6.0
30,Gabriel Martinelli,€62.6M,23-313,"FW,MF",7.0,4.0
31,Eberechi Eze,€62.2M,26-302,"MF,FW",4.0,8.0
32,Amadou Onana,€62.1M,23-254,MF,3.0,0.0
33,Micky van de Ven,€61.8M,24-008,DF,0.0,2.0
34,Mohammed Kudus,€61.7M,24-268,"FW,MF",4.0,2.0
35,Morgan Gibbs-White,€61.7M,25-090,MF,5.0,7.0
36,Curtis Jones,€61.7M,24-087,"MF,DF",3.0,3.0
37,Milos Kerkez,€61.5M,21-171,DF,2.0,5.0
38,Ollie Watkins,€61.4M,29-118,FW,15.0,7.0
39,João Pedro,€61.3M,23-213,"FW,MF",10.0,6.0
40,Darwin Núñez,€60.9M,25-307,FW,5.0,2.0
41,Alejandro Garnacho,€60.7M,20-300,"MF,FW",5.0,1.0
42,Pedro Neto,€60.6M,25-049,FW,4.0,4.0
43,Dejan Kulusevski,€60.5M,25-002,"MF,FW",7.0,4.0
44,Cristian Romero,€60.1M,27-000,DF,1.0,0.0
45,Destiny Udogie,€59.4M,22-150,DF,0.0,1.0
46,Illia Zabarnyi,€58.8M,22-238,DF,0.0,0.0
47,Diogo Jota,€58.6M,28-144,FW,6.0,3.0
48,Rúben Dias,€58.5M,27-348,DF,0.0,0.0
49,Archie Gray,€58.2M,19-046,"DF,MF",0.0,0.0
50,James Maddison,€58.1M,28-155,MF,9.0,6.0
51,Ibrahima Konaté,€57.2M,25-337,DF,1.0,2.0
52,Bryan Mbeumo,€57.2M,25-263,FW,18.0,6.0
53,Levi Colwill,€56.6M,22-060,DF,1.0,1.0
54,Pedro Porro,€55.9M,25-226,DF,2.0,6.0
55,Trent Alexander-Arnold,€55.8M,26-202,DF,3.0,6.0
56,Dean Huijsen,€55M,20-013,DF,2.0,1.0
57,Bruno Fernandes,€54.8M,30-231,MF,8.0,9.0
58,Marc Guéhi,€54.2M,24-288,DF,3.0,2.0
59,Sandro Tonali,€52.9M,24-354,MF,3.0,2.0
60,Carlos Baleba,€52.4M,21-114,MF,3.0,1.0
61,Matthijs de Ligt,€52.2M,25-258,DF,2.0,0.0
62,Dominic Solanke,€52.1M,27-225,FW,7.0,3.0
63,Christopher Nkunku,€51.7M,27-164,FW,3.0,2.0
64,Noni Madueke,€51.6M,23-048,FW,7.0,3.0
65,João Gomes,€51.1M,24-074,MF,3.0,1.0
66,Pape Matar Sarr,€50.8M,22-225,MF,3.0,2.0
67,Kaoru Mitoma,€50.6M,27-342,"FW,MF",9.0,3.0
68,Bernardo Silva,€50M,30-260,"MF,FW",3.0,4.0
69,Anthony Gordon,€49.5M,24-062,FW,6.0,5.0
70,Valentino Livramento,€49.3M,22-166,DF,0.0,1.0
71,Riccardo Calafiori,€49.3M,22-343,DF,2.0,1.0
72,Lisandro Martínez,€49.2M,27-099,DF,2.0,1.0
73,Adam Wharton,€48.9M,20-329,MF,0.0,2.0
74,Amad Diallo,€48.5M,22-290,"FW,MF",6.0,6.0
75,Jarrod Bowen,€48.1M,28-128,"FW,MF",9.0,7.0
76,Antoine Semenyo,€47.7M,25-110,FW,8.0,4.0
77,Joelinton,€47.5M,28-256,"MF,FW",4.0,3.0
78,Elliot Anderson,€46.5M,22-172,MF,2.0,6.0
79,Antonee Robinson,€46.4M,27-262,DF,0.0,10.0
80,Boubacar Kamara,€46.3M,25-155,MF,0.0,0.0
81,Jacob Ramsey,€45.8M,23-334,"FW,MF",1.0,3.0
82,Anthony Elanga,€45.5M,23-000,FW,6.0,9.0
83,Pau Torres,€45.3M,28-101,DF,0.0,0.0
84,Rayan Aït-Nouri,€45M,23-325,DF,4.0,7.0
85,Justin Kluivert,€44.8M,25-357,"MF,FW",12.0,6.0
86,Joshua Zirkzee,€43.7M,23-340,"FW,MF",3.0,1.0
87,Noussair Mazraoui,€43M,27-164,DF,0.0,1.0
88,Manuel Akanji,€42.8M,29-282,DF,0.0,0.0
89,Ezri Konsa,€42.7M,27-186,DF,1.0,0.0
90,Yankuba Minteh,€42.6M,20-279,"FW,MF",5.0,4.0
91,Jan Paul van Hecke,€42.4M,24-323,DF,1.0,1.0
92,Matheus Nunes,€42.3M,26-243,"DF,MF",1.0,5.0
93,Guglielmo Vicario,€41.6M,28-202,GK,0.0,0.0
94,Youri Tielemans,€41.5M,27-355,MF,2.0,7.0
95,Harvey Barnes,€41.5M,27-139,FW,9.0,4.0
96,Georginio Rutter,€41.3M,23-007,"MF,FW",5.0,3.0
97,Emile Smith Rowe,€40.8M,24-273,MF,6.0,2.0
98,Bilal El Khannouss,€40.6M,20-352,MF,2.0,2.0
99,Mikel Merino,€40.5M,28-309,"MF,FW",6.0,2.0
100,Marc Cucurella,€39.4M,26-279,DF,4.0,1.0
101,Leon Bailey,€39.2M,27-261,"FW,MF",1.0,2.0
102,Mohamed Salah,€38.5M,32-316,FW,27.0,18.0
103,Nikola Milenković,€38M,27-197,DF,4.0,2.0
104,Jadon Sancho,€37.7M,25-033,FW,3.0,4.0
105,Diogo Dalot,€37.4M,26-040,DF,0.0,3.0
106,Pervis Estupiñán,€37.1M,27-096,DF,1.0,1.0
107,Liam Delap,€37M,22-078,FW,12.0,2.0
108,Max Kilman,€36.7M,27-339,DF,0.0,1.0
109,Edson Álvarez,€36.5M,27-185,MF,0.0,1.0
110,Jean-Clair Todibo,€36M,25-118,DF,0.0,0.0
111,Joe Willock,€35.8M,25-250,"MF,FW",0.0,2.0
112,Myles Lewis-Skelly,€34.9M,18-213,DF,1.0,0.0
113,Lewis Hall,€34.5M,20-231,DF,0.0,4.0
114,André Onana,€34.2M,29-025,GK,0.0,0.0
115,Vitaliy Mykolenko,€33.5M,25-333,DF,0.0,1.0
116,Nathan Collins,€33.3M,23-362,DF,2.0,2.0
117,Matty Cash,€32.9M,27-263,DF,1.0,1.0
118,Malo Gusto,€32.8M,21-343,DF,0.0,1.0
119,Tyler Dibling,€32.7M,19-046,"FW,MF",2.0,0.0
120,Lucas Bergvall,€32.6M,19-084,MF,0.0,1.0
121,Jarrad Branthwaite,€32.2M,22-304,DF,0.0,1.0
122,Leandro Trossard,€31.8M,30-144,FW,8.0,5.0
123,Jean-Philippe Mateta,€31.7M,27-303,FW,14.0,2.0
124,Rodrigo Bentancur,€31.5M,27-306,MF,2.0,0.0
125,Joachim Andersen,€31.4M,28-331,DF,0.0,0.0
126,Yoane Wissa,€31.4M,28-236,FW,16.0,3.0
127,Daniel Muñoz,€30.9M,28-336,DF,4.0,4.0
128,Jørgen Strand Larsen,€30.8M,25-080,FW,13.0,2.0
129,Facundo Buonanotte,€30.7M,20-125,"FW,MF",4.0,2.0
130,Bart Verbruggen,€30.7M,22-252,GK,0.0,1.0
131,Wesley Fofana,€30.3M,24-131,DF,0.0,0.0
132,Alex Iwobi,€30.3M,28-359,"FW,MF",9.0,6.0
133,Callum Hudson-Odoi,€30.2M,24-171,"FW,MF",5.0,2.0
134,Calvin Bassey,€29.9M,25-117,DF,1.0,0.0
135,Taylor Harwood-Bellis,€29.9M,23-087,DF,1.0,0.0
136,André,€29.8M,23-285,MF,0.0,0.0
137,Yves Bissouma,€29.8M,28-240,MF,2.0,0.0
138,Kevin Schade,€29.7M,23-151,FW,7.0,2.0
139,David Raya,€28.9M,29-224,GK,0.0,0.0
140,Mikkel Damsgaard,€28.6M,24-298,"MF,FW",2.0,10.0
141,Dango Ouattara,€28.5M,23-075,FW,7.0,4.0
142,Leif Davis,€28.2M,25-105,DF,1.0,2.0
143,Sander Berge,€27.8M,27-072,MF,0.0,0.0
144,Maxence Lacroix,€27.7M,25-021,DF,1.0,1.0
145,Keane Lewis-Potter,€27.1M,24-064,"DF,FW",1.0,3.0
146,Vitaly Janelt,€27.1M,26-352,MF,1.0,3.0
147,Lesley Ugochukwu,€27M,21-032,MF,1.0,1.0
148,Dwight McNeil,€27M,25-156,"MF,FW",3.0,4.0
149,Evanilson,€26.9M,25-203,FW,9.0,0.0
150,Aaron Wan-Bissaka,€26.9M,27-152,DF,2.0,2.0
151,Sepp van den Berg,€26.4M,23-128,DF,0.0,0.0
152,Iliman Ndiaye,€25.7M,25-052,FW,7.0,0.0
153,Mateo Kovačić,€25.3M,30-356,MF,6.0,1.0
154,Jacob Greaves,€25.1M,24-227,DF,1.0,0.0
155,Wout Faes,€25M,27-024,DF,1.0,0.0
156,Robert Sánchez,€24.9M,27-160,GK,0.0,0.0
157,Tyrick Mitchell,€24.6M,25-238,DF,0.0,4.0
158,Jesper Lindstrøm,€24.4M,25-057,FW,0.0,1.0
159,Marcus Tavernier,€24.4M,26-036,"FW,MF",3.0,5.0
160,Tyler Adams,€24.4M,26-072,MF,0.0,3.0
161,Beto,€24.4M,27-086,FW,6.0,0.0
162,Orel Mangala,€24.4M,27-040,MF,1.0,0.0
163,Tosin Adarabioyo,€24.3M,27-215,DF,1.0,1.0
164,Virgil van Dijk,€24.3M,33-293,DF,2.0,1.0
165,Alisson,€24.1M,32-207,GK,0.0,0.0
166,Andrew Robertson,€24M,31-047,DF,0.0,0.0
167,Carlos Soler,€23.4M,28-115,"MF,FW",1.0,1.0
168,Neco Williams,€23.4M,24-014,DF,1.0,2.0
169,Tomáš Souček,€23.2M,30-059,MF,8.0,1.0
170,James Garner,€23.2M,24-045,"MF,DF",0.0,1.0
171,Dean Henderson,€22.7M,28-046,GK,0.0,0.0
172,Jordan Pickford,€22.6M,31-051,GK,0.0,1.0
173,Mateus Fernandes,€22.5M,20-291,MF,2.0,3.0
174,John McGinn,€22.5M,30-191,"MF,FW",1.0,3.0
175,Kristoffer Ajer,€21.5M,27-010,DF,0.0,0.0
176,Yasin Ayari,€21.4M,21-203,MF,1.0,1.0
177,Jean-Ricner Bellegarde,€21.3M,26-304,"MF,FW",2.0,6.0
178,Marcos Senesi,€20.4M,27-352,DF,0.0,0.0
179,Wilfred Ndidi,€20.3M,28-132,MF,0.0,4.0
180,Kevin De Bruyne,€20.1M,33-303,"MF,FW",3.0,7.0
181,Mads Hermansen,€19.8M,24-290,GK,0.0,0.0
182,Djed Spence,€19.8M,24-261,DF,1.0,2.0
183,Jake O'Brien,€19.7M,23-347,DF,2.0,0.0
184,Dara O'Shea,€19.5M,26-054,DF,0.0,2.0
185,Jack Clarke,€19.4M,24-155,"FW,MF",0.0,4.0
186,Lewis Cook,€19.3M,28-083,"MF,DF",1.0,3.0
187,Ederson,€19.1M,31-253,GK,0.0,4.0
188,Konstantinos Mavropanos,€19.1M,27-137,DF,0.0,0.0
189,Andreas Pereira,€19M,29-116,MF,2.0,4.0
190,Nicolás Domínguez,€18.8M,26-303,"MF,FW",0.0,1.0
191,Ola Aina,€18.8M,28-201,DF,2.0,1.0
192,Aaron Ramsdale,€18.7M,26-348,GK,0.0,0.0
193,Toti Gomes,€18.6M,26-101,DF,0.0,1.0
194,Cameron Archer,€18.6M,23-280,FW,2.0,0.0
195,Kamaldeen Sulemana,€18.5M,23-071,"FW,MF",1.0,1.0
196,Ryan Yates,€18.3M,27-157,MF,2.0,1.0
197,Yehor Yarmoliuk,€18M,21-057,MF,0.0,0.0
198,Emmanuel Agbadou,€18M,27-314,DF,0.0,0.0
199,Jacob Murphy,€17.9M,30-062,FW,8.0,11.0
200,Issa Diop,€17.9M,28-108,DF,0.0,0.0
201,Dominic Calvert-Lewin,€17.8M,28-042,FW,3.0,1.0
202,Jack Harrison,€17.7M,28-158,FW,1.0,0.0
203,Emiliano Martínez,€17.5M,32-237,GK,0.0,0.0
204,Timothy Castagne,€17.4M,29-143,DF,0.0,1.0
205,Kalvin Phillips,€17.2M,29-146,MF,0.0,0.0
206,James Justin,€17M,27-063,DF,2.0,1.0
207,Oliver Skipp,€17M,24-223,MF,0.0,0.0
208,Caleb Okoli,€16.7M,23-288,DF,1.0,0.0
209,Kyle Walker-Peters,€16.6M,28-014,DF,0.0,2.0
210,Ryan Christie,€16.2M,30-064,MF,2.0,3.0
211,Yukinari Sugawara,€15.7M,24-303,"DF,MF",1.0,1.0
212,Chris Richards,€15.7M,25-030,DF,1.0,0.0
213,Jens Cajuste,€15.5M,25-260,MF,1.0,0.0
214,Boubakary Soumaré,€15.4M,26-059,MF,0.0,0.0
215,Daichi Kamada,€14.6M,28-265,MF,0.0,0.0
216,Harry Wilson,€14.5M,28-036,"FW,MF",5.0,1.0
217,Christian Nørgaard,€14.4M,31-048,MF,5.0,2.0
218,Sammie Szmodics,€14.1M,29-215,"FW,MF",4.0,0.0
219,Kenny Tete,€14M,29-200,DF,0.0,2.0
220,Harry Maguire,€13.7M,32-053,DF,1.0,0.0
221,Bernd Leno,€13.7M,33-054,GK,0.0,1.0
222,Guido Rodríguez,€13.6M,31-015,MF,0.0,0.0
223,Lucas Digne,€13.6M,31-281,DF,0.0,4.0
224,Jefferson Lerma,€13.6M,30-184,"MF,DF",0.0,1.0
225,Mark Flekken,€13.6M,31-318,GK,0.0,1.0
226,Jan Bednarek,€12.9M,29-015,DF,2.0,0.0
227,Stephy Mavididi,€12.9M,26-331,FW,4.0,1.0
228,Paul Onuachu,€12.7M,30-334,FW,4.0,1.0
229,Ben Johnson,€12.6M,25-093,"DF,FW",1.0,2.0
230,Emerson Palmieri,€12.6M,30-267,DF,2.0,1.0
231,Saša Lukić,€12.1M,28-257,MF,0.0,2.0
232,İlkay Gündoğan,€12.1M,34-185,MF,0.0,5.0
233,Kepa Arrizabalaga,€12M,30-206,GK,0.0,0.0
234,James Tarkowski,€11.8M,32-159,DF,1.0,1.0
235,Nick Pope,€11.7M,33-008,GK,0.0,0.0
236,Casemiro,€11.6M,33-063,MF,1.0,0.0
237,Harry Winks,€11.4M,29-084,MF,0.0,2.0
238,Santiago Bueno,€11.2M,26-169,DF,0.0,0.0
239,Will Hughes,€11.1M,30-010,MF,0.0,3.0
240,Álex Moreno,€11M,31-323,"DF,MF",0.0,1.0
241,Fabian Schär,€11M,33-128,DF,4.0,0.0
242,Jack Hinshelwood,€9.2M,20-016,"DF,MF",2.0,2.0
243,Flynn Downes,€9.2M,26-097,MF,1.0,0.0
244,Dan Burn,€9.1M,32-353,DF,1.0,0.0
245,Matz Sels,€9.1M,33-060,GK,0.0,0.0
246,José Sá,€8.5M,32-100,GK,0.0,0.0
247,Nélson Semedo,€8.4M,31-162,DF,0.0,4.0
248,Rodrigo Muniz,€8.2M,23-358,FW,8.0,1.0
249,Adama Traoré,€8M,29-092,"FW,MF",2.0,6.0
250,Chris Wood,€7.8M,33-141,FW,19.0,3.0
251,Ethan Pinnock,€7.6M,31-333,DF,2.0,0.0
252,Lewis Dunk,€7.4M,33-157,DF,0.0,0.0
253,Joe Aribo,€6.9M,28-280,"MF,DF",3.0,0.0
254,Danny Welbeck,€6M,34-152,FW,9.0,4.0
255,Abdoulaye Doucouré,€5.8M,32-116,MF,3.0,1.0
256,Stefan Ortega,€5.8M,32-172,GK,0.0,0.0
257,Tyrone Mings,€5.8M,32-045,DF,0.0,0.0
258,Joël Veltman,€5.7M,33-102,DF,0.0,0.0
259,Ben Davies,€5.6M,32-003,DF,0.0,0.0
260,Kieran Trippier,€5.1M,34-220,DF,0.0,3.0
261,Raúl Jiménez,€5.1M,33-357,FW,10.0,3.0
262,Axel Tuanzebe,€4.2M,27-164,DF,0.0,1.0
263,Christian Eriksen,€4.2M,33-072,MF,0.0,1.0
264,Matt Doherty,€4.2M,33-101,DF,2.0,1.0
265,Jordan Ayew,€4.2M,33-228,"FW,MF",4.0,0.0
266,Ryan Manning,€3.9M,28-317,"DF,MF",0.0,1.0
267,Conor Coady,€2.2M,32-061,DF,0.0,0.0
268,Wes Burns,€2.1M,30-155,"FW,DF",0.0,1.0
269,Jannik Vestergaard,€2M,32-267,DF,0.0,0.0
270,Luke Woolfenden,€2M,26-188,DF,0.0,0.0
271,Cameron Burgess,€1.7M,29-188,DF,0.0,1.0
272,Adam Smith,€1.5M,33-363,DF,0.0,0.0
273,Craig Dawson,€1.5M,34-356,DF,0.0,0.0
274,Jack Stephens,€1.4M,31-090,DF,1.0,0.0
275,Ashley Young,€1.3M,39-292,"DF,FW",1.0,3.0
276,Sam Morsy,€1.3M,33-229,MF,1.0,1.0
277,Jamie Vardy,€1M,38-106,FW,7.0,3.0
278,Łukasz Fabiański,€0.9M,40-009,GK,0.0,0.0
279,Pape Gueye,€11.3M,,,,
280,Manuel Ugarte,€60.4M,,,,
281,Arijanet Murić,€10.1M,,,,
282,Jérémy Doku,€66.2M,,,,
283,Ismaïla Sarr,€25.7M,,,,
284,Victor Kristiansen,€23.9M,,,,
285,Heung-min Son,€30.7M,,,,
286,Mario Lemina,€5.2M,31-238,"MF,DF",1.0,3.0
287,Jurrien Timber,€65.5M,,,,
288,O. Hutchinson,€27.4M,,,,
289,Thomas Partey,€15.2M,31-318,"MF,DF",4.0,2.0
290,Alphonse Aréola,€11.8M,,,,
291,Adam Armstrong,€15.1M,28-076,"FW,MF",2.0,2.0
292,Radu Drăguşin,€28.4M,,,,
293,Mads Roerslev,€8.4M,25-307,DF,0.0,2.0
294,Rasmus Winther Højlund,€54.9M,,,,
295,Igor Thiago,€25.9M,,,,
296,Kyle Walker,€4.9M,34-334,DF,0.0,0.0
